model,size,N,h,solver,sampler,cem,rbm,n_hidden,lr,reg,seed,sigma,n_samples,total_iters,conv_iter,converged,distance_at_conv,exact_energy_per_spin,energy_at_conv,avg_sampling_time_s,mean_sampling_time_all_s,distance_final,final_kl_exact,final_ess,time_to_conv_s,time_total_s
2d,10,100,0.5,lsb,custom,True,full,100,0.01,1e-05,2,1.0,1000,300,218,True,,,-2.027824759878297,0.050537355802953245,0.05099313302586476,,,0.9280816846223714,11.116502999638517,15.297939907759428
2d,10,100,0.5,lsb,custom,True,full,100,0.01,1e-05,3,1.0,1000,300,214,True,,,-2.0238760292087066,0.050451721623539926,0.05135090845326583,,,0.9407995014947071,10.989094408998888,15.405272535979748
2d,10,100,0.5,lsb,custom,True,full,100,0.01,1e-05,4,1.0,1000,300,207,True,,,-2.023272619660491,0.054831459559500216,0.05211723214636246,,,0.9307263266582348,10.78826705429703,15.635169643908739
2d,10,100,0.5,lsb,custom,True,full,100,0.01,1e-05,5,1.0,1000,300,214,True,,,-2.022702641222159,0.05251304283738136,0.05145184295872847,,,0.9162100712187731,11.010694393167892,15.43555288761854
2d,10,100,1.0,lsb,custom,True,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,,,-1.6713407969863805,0.05087248757481575,0.05130962693442901,,,0.04585528879934055,14.366695541640123,15.392888080328703
2d,10,100,1.0,lsb,custom,True,full,100,0.01,1e-05,1,1.0,1000,300,170,True,,,-2.125246678510501,0.05249319728463888,0.05176626310994228,,,0.7358052289790192,8.800264728690188,15.529878932982683
2d,10,100,1.0,lsb,custom,True,full,100,0.01,1e-05,2,1.0,1000,300,174,True,,,-2.1199187226449467,0.055384425818920134,0.05144872561097145,,,0.7776416868805709,8.952078256309031,15.434617683291433
2d,10,100,1.0,lsb,custom,True,full,100,0.01,1e-05,3,1.0,1000,300,182,True,,,-2.126942776339009,0.05169234350323677,0.05177176484217246,,,0.7354836848932341,9.422461201275388,15.53152945265174
2d,10,100,1.0,lsb,custom,True,full,100,0.01,1e-05,4,1.0,1000,300,176,True,,,-2.118692444049021,0.05196643155068159,0.052863041311502455,,,0.7882925758264963,9.303895270824432,15.858912393450737
2d,10,100,1.0,lsb,custom,True,full,100,0.01,1e-05,5,1.0,1000,300,176,True,,,-2.1226326112580316,0.05637083221226931,0.051001161647339664,,,0.7679339376962068,8.976204449931782,15.300348494201899
2d,10,100,2.0,lsb,custom,True,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,,,-2.5284565648229043,0.05097796097397804,0.051095872409641745,,,0.05755695166741969,14.306844274699689,15.328761722892523
2d,10,100,2.0,lsb,custom,True,full,100,0.01,1e-05,1,1.0,1000,300,63,True,,,-2.469449463593496,0.0506878899410367,0.05121774595230818,,,0.11442767265774917,3.2267179949954152,15.365323785692453
2d,10,100,2.0,lsb,custom,True,full,100,0.01,1e-05,2,1.0,1000,300,66,True,,,-2.463337922632106,0.050295220129191874,0.050583965207139654,,,0.12219391653478676,3.338541703671217,15.175189562141897
2d,10,100,2.0,lsb,custom,True,full,100,0.01,1e-05,3,1.0,1000,300,66,True,,,-2.458351582480193,0.05062785502523184,0.050765117754538854,,,0.14504364915993226,3.3504977717995645,15.229535326361656
